timestamp,cpu_usage,ram_usage,disk_usage,network_usage,active_users,request_rate,hour,day_of_week,previous_cpu,previous_ram,previous_disk,previous_network,previous_request_rate,previous_active_users,rolling_cpu_mean,rolling_ram_mean,rolling_request_rate,target_cpu,target_ram
2026-03-01 00:05:00,23.63,44.36,36.78,14.83,470,453.9,0,6,22.51,45.69,37.24,27.37,665.1,529,23.07,45.025,559.5,18.97,45.58
2026-03-01 00:10:00,24.24,43.59,37.0,21.08,455,525.2,0,6,23.63,44.36,36.78,14.83,453.9,470,23.459999999999997,44.54666666666666,548.0666666666667,20.14,46.41
2026-03-01 00:15:00,20.56,45.46,36.65,21.53,450,447.2,0,6,24.24,43.59,37.0,21.08,525.2,455,22.81,44.47,475.43333333333334,22.82,46.25
2026-03-01 00:20:00,18.97,45.58,37.03,25.73,411,502.8,0,6,20.56,45.46,36.65,21.53,447.2,450,21.256666666666664,44.876666666666665,491.73333333333335,24.59,47.25
2026-03-01 00:25:00,20.14,46.41,36.46,21.82,413,393.9,0,6,18.97,45.58,37.03,25.73,502.8,411,19.89,45.81666666666666,447.9666666666667,25.92,47.33
2026-03-01 00:30:00,22.82,46.25,37.29,26.77,475,627.3,0,6,20.14,46.41,36.46,21.82,393.9,413,20.643333333333334,46.07999999999999,508.0,18.65,46.54
2026-03-01 00:35:00,24.59,47.25,36.82,25.74,493,573.9,0,6,22.82,46.25,37.29,26.77,627.3,475,22.516666666666666,46.63666666666666,531.6999999999999,51.67,46.37
2026-03-01 00:40:00,25.92,47.33,36.43,25.64,583,619.4,0,6,24.59,47.25,36.82,25.74,573.9,493,24.44333333333333,46.943333333333335,606.8666666666667,19.85,45.62
2026-03-01 00:45:00,18.65,46.54,37.15,23.76,388,377.7,0,6,25.92,47.33,36.43,25.64,619.4,583,23.05333333333333,47.04,523.6666666666666,22.63,46.02
2026-03-01 00:50:00,51.67,46.37,56.47,24.33,477,648.7,0,6,18.65,46.54,37.15,23.76,377.7,388,32.08,46.74666666666667,548.6,23.14,45.63
2026-03-01 00:55:00,19.85,45.62,37.45,11.81,357,381.6,0,6,51.67,46.37,56.47,24.33,648.7,477,30.05666666666666,46.176666666666655,469.3333333333333,28.76,45.85
2026-03-01 01:00:00,22.63,46.02,37.01,21.5,448,458.3,1,6,19.85,45.62,37.45,11.81,381.6,357,31.383333333333336,46.00333333333333,496.20000000000005,24.47,43.73
2026-03-01 01:05:00,23.14,45.63,36.91,26.02,480,518.5,1,6,22.63,46.02,37.01,21.5,458.3,448,21.873333333333335,45.75666666666666,452.8,20.72,44.06
2026-03-01 01:10:00,28.76,45.85,37.36,19.07,407,407.8,1,6,23.14,45.63,36.91,26.02,518.5,480,24.843333333333334,45.833333333333336,461.53333333333336,27.52,44.21
2026-03-01 01:15:00,24.47,43.73,37.4,23.89,344,465.0,1,6,28.76,45.85,37.36,19.07,407.8,407,25.456666666666667,45.06999999999999,463.7666666666667,21.08,43.94
2026-03-01 01:20:00,20.72,44.06,37.29,19.34,323,330.8,1,6,24.47,43.73,37.4,23.89,465.0,344,24.650000000000002,44.54666666666666,401.20000000000005,25.99,43.01
2026-03-01 01:25:00,27.52,44.21,37.48,26.24,399,542.4,1,6,20.72,44.06,37.29,19.34,330.8,323,24.236666666666665,44.0,446.0666666666668,24.77,42.2
2026-03-01 01:30:00,21.08,43.94,36.84,17.77,350,355.4,1,6,27.52,44.21,37.48,26.24,542.4,399,23.106666666666666,44.07,409.53333333333336,22.38,42.88
2026-03-01 01:35:00,25.99,43.01,37.31,23.33,378,530.9,1,6,21.08,43.94,36.84,17.77,355.4,350,24.863333333333333,43.72,476.23333333333335,16.04,41.59
2026-03-01 01:40:00,24.77,42.2,37.31,30.16,405,571.1,1,6,25.99,43.01,37.31,23.33,530.9,378,23.94666666666667,43.04999999999999,485.8,16.36,41.5
2026-03-01 01:45:00,22.38,42.88,37.68,30.26,365,456.8,1,6,24.77,42.2,37.31,30.16,571.1,405,24.38,42.696666666666665,519.6,14.35,43.29
2026-03-01 01:50:00,16.04,41.59,37.64,14.57,305,334.3,1,6,22.38,42.88,37.68,30.26,456.8,365,21.063333333333333,42.223333333333336,454.0666666666668,21.08,41.82
2026-03-01 01:55:00,16.36,41.5,37.29,17.56,347,396.1,1,6,16.04,41.59,37.64,14.57,334.3,305,18.26,41.99,395.7333333333334,18.02,42.34
2026-03-01 02:00:00,14.35,43.29,37.6,13.21,314,280.6,2,6,16.36,41.5,37.29,17.56,396.1,347,15.583333333333334,42.12666666666667,337.00000000000006,15.75,42.13
2026-03-01 02:05:00,21.08,41.82,37.09,21.91,298,282.1,2,6,14.35,43.29,37.6,13.21,280.6,314,17.263333333333332,42.203333333333326,319.6000000000001,16.78,41.9
2026-03-01 02:10:00,18.02,42.34,36.66,13.89,294,332.2,2,6,21.08,41.82,37.09,21.91,282.1,298,17.816666666666666,42.48333333333333,298.3,28.67,42.01
2026-03-01 02:15:00,15.75,42.13,37.45,20.44,301,359.7,2,6,18.02,42.34,36.66,13.89,332.2,294,18.28333333333333,42.09666666666667,324.6666666666667,24.3,43.28
2026-03-01 02:20:00,16.78,41.9,37.11,16.08,250,242.8,2,6,15.75,42.13,37.45,20.44,359.7,301,16.849999999999998,42.123333333333335,311.56666666666666,18.42,43.77
2026-03-01 02:25:00,28.67,42.01,37.46,18.54,331,365.9,2,6,16.78,41.9,37.11,16.08,242.8,250,20.400000000000002,42.01333333333333,322.8,17.11,44.8
2026-03-01 02:30:00,24.3,43.28,37.62,24.55,383,472.2,2,6,28.67,42.01,37.46,18.54,365.9,331,23.25,42.39666666666667,360.3,13.76,45.51
2026-03-01 02:35:00,18.42,43.77,37.11,17.75,313,433.4,2,6,24.3,43.28,37.62,24.55,472.2,383,23.79666666666667,43.02,423.8333333333333,24.45,44.49
2026-03-01 02:40:00,17.11,44.8,36.82,19.44,345,352.6,2,6,18.42,43.77,37.11,17.75,433.4,313,19.943333333333335,43.949999999999996,419.40000000000003,16.87,44.8
2026-03-01 02:45:00,13.76,45.51,37.86,27.63,282,380.4,2,6,17.11,44.8,36.82,19.44,352.6,345,16.43,44.69333333333333,388.8,19.4,44.75
2026-03-01 02:50:00,24.45,44.49,37.6,17.02,331,395.4,2,6,13.76,45.51,37.86,27.63,380.4,282,18.44,44.93333333333333,376.1333333333334,16.37,44.11
2026-03-01 02:55:00,16.87,44.8,37.46,16.55,212,192.9,2,6,24.45,44.49,37.6,17.02,395.4,331,18.36,44.93333333333334,322.90000000000003,23.55,44.0
2026-03-01 03:00:00,19.4,44.75,37.89,20.29,289,326.4,3,6,16.87,44.8,37.46,16.55,192.9,212,20.24,44.68,304.90000000000003,13.8,43.24
2026-03-01 03:05:00,16.37,44.11,37.33,23.55,282,373.6,3,6,19.4,44.75,37.89,20.29,326.4,289,17.546666666666667,44.553333333333335,297.6333333333334,18.84,41.3
2026-03-01 03:10:00,23.55,44.0,37.74,14.44,324,439.4,3,6,16.37,44.11,37.33,23.55,373.6,282,19.77333333333333,44.28666666666667,379.8,21.01,40.48
