timestamp,cpu_usage,ram_usage,disk_usage,network_usage,active_users,request_rate,hour,day_of_week
2026-03-01 00:00:00,22.51,45.69,37.24,27.37,529,665.1,0,6
2026-03-01 00:05:00,23.63,44.36,36.78,14.83,470,453.9,0,6
2026-03-01 00:10:00,24.24,43.59,37.0,21.08,455,525.2,0,6
2026-03-01 00:15:00,20.56,45.46,36.65,21.53,450,447.2,0,6
2026-03-01 00:20:00,18.97,45.58,37.03,25.73,411,502.8,0,6
2026-03-01 00:25:00,20.14,46.41,36.46,21.82,413,393.9,0,6
2026-03-01 00:30:00,22.82,46.25,37.29,26.77,475,627.3,0,6
2026-03-01 00:35:00,24.59,47.25,36.82,25.74,493,573.9,0,6
2026-03-01 00:40:00,25.92,47.33,36.43,25.64,583,619.4,0,6
2026-03-01 00:45:00,18.65,46.54,37.15,23.76,388,377.7,0,6
2026-03-01 00:50:00,51.67,46.37,56.47,24.33,477,648.7,0,6
2026-03-01 00:55:00,19.85,45.62,37.45,11.81,357,381.6,0,6
2026-03-01 01:00:00,22.63,46.02,37.01,21.5,448,458.3,1,6
2026-03-01 01:05:00,23.14,45.63,36.91,26.02,480,518.5,1,6
2026-03-01 01:10:00,28.76,45.85,37.36,19.07,407,407.8,1,6
2026-03-01 01:15:00,24.47,43.73,37.4,23.89,344,465.0,1,6
2026-03-01 01:20:00,20.72,44.06,37.29,19.34,323,330.8,1,6
2026-03-01 01:25:00,27.52,44.21,37.48,26.24,399,542.4,1,6
2026-03-01 01:30:00,21.08,43.94,36.84,17.77,350,355.4,1,6
2026-03-01 01:35:00,25.99,43.01,37.31,23.33,378,530.9,1,6
2026-03-01 01:40:00,24.77,42.2,37.31,30.16,405,571.1,1,6
2026-03-01 01:45:00,22.38,42.88,37.68,30.26,365,456.8,1,6
2026-03-01 01:50:00,16.04,41.59,37.64,14.57,305,334.3,1,6
2026-03-01 01:55:00,16.36,41.5,37.29,17.56,347,396.1,1,6
2026-03-01 02:00:00,14.35,43.29,37.6,13.21,314,280.6,2,6
2026-03-01 02:05:00,21.08,41.82,37.09,21.91,298,282.1,2,6
2026-03-01 02:10:00,18.02,42.34,36.66,13.89,294,332.2,2,6
2026-03-01 02:15:00,15.75,42.13,37.45,20.44,301,359.7,2,6
2026-03-01 02:20:00,16.78,41.9,37.11,16.08,250,242.8,2,6
2026-03-01 02:25:00,28.67,42.01,37.46,18.54,331,365.9,2,6
2026-03-01 02:30:00,24.3,43.28,37.62,24.55,383,472.2,2,6
2026-03-01 02:35:00,18.42,43.77,37.11,17.75,313,433.4,2,6
2026-03-01 02:40:00,17.11,44.8,36.82,19.44,345,352.6,2,6
2026-03-01 02:45:00,13.76,45.51,37.86,27.63,282,380.4,2,6
2026-03-01 02:50:00,24.45,44.49,37.6,17.02,331,395.4,2,6
2026-03-01 02:55:00,16.87,44.8,37.46,16.55,212,192.9,2,6
2026-03-01 03:00:00,19.4,44.75,37.89,20.29,289,326.4,3,6
2026-03-01 03:05:00,16.37,44.11,37.33,23.55,282,373.6,3,6
2026-03-01 03:10:00,23.55,44.0,37.74,14.44,324,439.4,3,6
2026-03-01 03:15:00,13.8,43.24,36.86,23.22,229,254.1,3,6
2026-03-01 03:20:00,18.84,41.3,37.19,19.43,312,335.9,3,6
2026-03-01 03:25:00,21.01,40.48,37.17,13.02,188,178.5,3,6
2026-03-01 03:30:00,21.4,40.44,37.25,19.4,289,402.8,3,6
2026-03-01 03:35:00,18.08,39.35,37.03,24.18,238,245.8,3,6
2026-03-01 03:40:00,21.12,40.72,37.14,17.79,267,328.2,3,6
2026-03-01 03:45:00,21.99,42.25,37.36,20.48,335,354.9,3,6
2026-03-01 03:50:00,18.06,41.99,37.28,19.11,345,454.4,3,6
2026-03-01 03:55:00,20.91,41.27,37.93,16.94,118,153.2,3,6
